Mês,Precipitação (mm),Temp. Média (°C),Umidade Média (%),Vento Médio (m/s),Casos de dengue
Janeiro,277.4,23.62,77.46,1.93,1.258
Fevereiro,153.6,24.06,77.07,1.74,4708
Março,232.2,24.01,78.03,1.7,10159
Abril,23,22.79,74.95,1.65,7495
Maio,54.6,21.61,73.31,1.52,2181
Junho,1.2,18.71,71.9,1.24,95
Julho,17.6,18.28,75.3,1.4,17
Agosto,1.2,23.18,47.25,2.22,29
Setembro,0.2,27.86,43.84,2.44,16
Outubro,13.8,26.88,53.2,3.03,18
Novembro,30.2,26.37,59.9,2.19,22
Dezembro,240.6,23.52,76.69,2.09,19
Janeiro,265.8,24.2,78.85,0.35,18
Fevereiro,169.2,24.41,80.61,0.37,90
Março,182.6,24.14,82.42,0.17,554
Abril,106,22.92,77.38,0.18,557
Maio,49.2,21.57,74.92,0.27,279
Junho,7.2,18.87,74.3,0.18,91
Julho,32,18.09,76.96,0.19,43
Agosto,56.4,18.5,66.67,0.39,39
Setembro,19,23.53,60.83,0.49,18
Outubro,282.4,23.02,71.29,0.71,0
Novembro,207.8,23.33,74.54,0.53,2
Dezembro,200,24.13,76.98,0.61,2
Janeiro,255.4,17.88,85.66,1.34,0
Fevereiro,351,17.94,86.81,1.27,0
Março,258,18.02,87.37,1.29,0
Abril,29.6,16.74,82.49,1.09,1
Maio,56.8,15.06,80.52,1.09,0
Junho,4,12.66,78.58,1.09,0
Julho,31.6,12.27,78.74,1.03,0
Agosto,60.8,12.99,65.98,1.12,0
Setembro,4,17.33,64.34,1.31,0
Outubro,197.6,16.96,80.93,1.41,0
Novembro,203.8,16.64,85.98,1.32,0
Dezembro,393.6,17.54,86.45,1.31,0
Janeiro,99.6,25.69,74.95,2.03,9
Fevereiro,19.8,25.76,79.41,1.54,8
Março,61.4,26.68,77.32,2.08,22
Agosto,0.4,27.91,34.93,1.83,61
Janeiro,123.6,24.78,68.16,2.45,1.109
Fevereiro,119.4,25.01,70.84,1.76,1766
Março,165,24.59,72.78,1.88,5135
Abril,41.2,24.17,68.85,1.66,9834
Maio,37.2,22.05,66.43,1.83,8405
Junho,0.6,20.09,61.12,1.8,2301
Julho,29.8,18.58,66.93,1.7,550
Agosto,34.6,19.85,54.45,1.94,111
Setembro,2.6,24.7,47.58,2.36,28
Outubro,85.8,23.93,62.53,2.78,41
Novembro,151,23.17,72.52,2.19,38
Dezembro,49.4,23.87,62.03,2.44,34
Janeiro,164.6,23.34,75.06,1.4,73
Fevereiro,66.6,23.84,74.94,1.14,477
Março,158.6,23.78,77.73,1.22,1506
Abril,23.4,23.23,69.41,0.76,3781
Maio,24.2,21.25,65.01,0.75,6034
Junho,0,20.13,57.58,0.79,2360
Julho,12.6,19.3,59.47,0.76,608
Agosto,30.6,20.25,48.63,1,322
Setembro,1.2,24.82,42.86,1.5,192
Outubro,27.6,24.91,57.07,1.74,115
Novembro,50.6,24.59,64.23,1.67,77
Dezembro,70.2,24.58,68.72,1.59,50
Janeiro,307.2,23.14,71.29,1.95,8.437
Fevereiro,200.4,23.74,71.42,1.61,38634
Março,270.2,23.6,73.15,1.71,137792
Abril,17.2,22.91,68.16,1.56,198641
Maio,65.2,21.68,62.88,1.49,180711
Junho,0.6,20.07,58.85,1.16,41509
Julho,66.4,17.6,68.1,1.15,8085
Agosto,55.6,18.94,55.31,1.41,2576
Setembro,15.4,22.68,54.82,1.59,1706
Outubro,173.8,20.77,71.07,2.11,1127
Novembro,125.4,21.67,70.37,1.89,975
Dezembro,226.4,22.69,72.55,2.01,1062
